role,title,company,sql,excel,power bi,tableau,python,statistics,data analytics,machine learning,data visualization,etl,communication,problem solving
data-analyst,sales & operations,sofa clinic,0,0,0,0,0,0,0,0,0,0,0,0
data-analyst,immigration consultant,spearhead immigration solutions private limited,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,client servicing,creuto cloud private limited,0,1,0,0,0,0,0,0,0,0,1,0
data-analyst,data analytics,talent trackers hr private limited,1,1,0,1,1,0,0,0,0,0,0,0
data-analyst,gis mapping/gis executive,vertucore it solutions,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,data science,growthpal,0,0,0,0,1,0,1,0,0,0,0,0
data-analyst,customer service/customer support,complete cooling solutions llp,0,1,0,0,0,0,0,0,0,0,1,0
data-analyst,founders office,excess rewards,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,project management,consultbae,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,operations,alok mishra,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,operations,proofile.in,0,0,0,0,0,0,0,0,0,0,1,1
data-analyst,operations,bevysquare social private limited,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,telecalling,konnect insights,0,1,0,0,0,0,0,0,0,0,1,0
data-analyst,operations,dekhega india,0,1,0,0,0,0,0,0,0,0,1,0
data-analyst,founders office,brevity technologies private limited,0,0,0,0,0,0,0,0,0,0,1,1
data-analyst,market research,yuma energy,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,marketing automation associate,neobhi,0,0,0,0,0,0,1,0,0,0,1,0
data-analyst,customer support executive (women candidates),highway delite,0,1,0,0,0,0,0,0,0,0,1,0
data-analyst,program coordinator lead,proximity foundation,0,0,0,0,0,0,0,0,0,0,0,0
data-analyst,student volunteer,marpu foundation,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,operations,sembark tech private limited,0,1,0,0,0,0,0,0,0,0,1,0
data-analyst,program management,"national e-governance division (negd), meity",0,0,0,0,0,0,1,0,0,0,1,0
data-analyst,data entry,arun pillai,0,1,0,0,0,0,0,0,0,0,1,0
data-analyst,hospitality - hostel operations,the bunker hostels,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,founders office,triver integrated services private limited,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,assistant,jp it staffing llc,0,1,0,0,0,0,0,0,0,0,1,0
data-analyst,client relationship manager,fusion beauty,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,training coordinator,mind appraisers,0,1,0,0,0,0,0,0,0,0,1,0
data-analyst,business development & client relations,across the globe (atg),0,0,0,0,0,0,0,0,0,0,0,0
data-analyst,admissions operation,newton school,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,data analytics,cancer herbalist,1,1,1,1,1,0,1,0,0,0,0,0
data-analyst,hr operations,bnm business solutions llp,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,data science,vidyavya solutions private limited,1,0,0,0,1,0,1,1,0,0,0,0
data-analyst,operations,sargam ventures private limited,0,1,0,0,0,0,0,0,0,0,1,0
data-analyst,ground operations,cityflo,0,0,0,0,0,0,0,0,0,0,0,0
data-analyst,business analytics,wipro,0,0,0,0,0,0,0,0,0,0,0,1
data-analyst,"video editing, content creation, social media",design culture,0,0,0,0,0,0,0,0,0,0,0,0
data-analyst,product marketing,emversity,0,1,0,0,0,0,0,0,0,0,1,0
data-analyst,hr consultant,neuralbits technologies private limited,0,0,0,0,0,0,0,0,0,0,1,0
data-analyst,e-commerce operations,flashify,0,1,0,0,0,0,0,0,0,0,1,0
business-analyst,business development (sales),welcade,0,0,0,0,0,0,0,0,0,0,1,0
business-analyst,social media marketing,startup0km private limited,0,0,0,0,0,0,0,0,0,0,0,0
business-analyst,sales and marketing,rashi gold llp,0,0,0,0,0,0,0,0,0,0,0,0
business-analyst,content writing,e-studypal,0,0,0,0,0,0,0,0,0,0,1,0
business-analyst,business development (sales),ashwneeta private limited,0,0,0,0,0,0,0,0,0,0,0,0
business-analyst,content and social media marketing,billie hawkins,0,0,0,0,0,0,0,0,0,0,0,0
business-analyst,search engine optimization (seo),zain web tech,0,0,0,0,0,0,0,0,0,0,0,0
business-analyst,content writing,digital notebook,0,0,0,0,0,0,0,0,0,0,1,0
business-analyst,business development,altm new and renewable energy private limited,0,0,0,0,0,0,0,0,0,0,1,0
business-analyst,fundraising analyst,mynachiketa,0,1,0,0,0,0,0,0,0,0,0,0
business-analyst,digital marketing,onestop4wellness,0,0,0,0,0,0,0,0,0,0,0,0
business-analyst,field sales,star entertainment production,0,0,0,0,0,0,0,0,0,0,1,0
business-analyst,field sales,enrope solutions private limited,0,0,0,0,0,0,0,0,0,0,1,0
business-analyst,business development (sales),hirekarma private limited,0,1,0,0,0,0,0,0,0,0,1,0
business-analyst,digital marketing,sahoo ji fnb,0,0,0,0,0,0,0,0,0,0,0,0
