role,title,company,location,stipend,duration,skills_required,description,ppo,source
data-analyst,sales & operations,sofa clinic,Bangalore,"₹ 12,000 - 15,000 /month",2 Months,"client relationship management (crm), financial analysis, adaptability, self-learning, google sheets","as a sales & operations intern at sofa clinic, you will play a crucial role in driving revenue growth and operational efficiency. your knowledge of google sheets, financial analysis, and client relationship management will be put to the test in this fast-paced and dynamic environment. your ability to self-learn and adapt quickly will be key to your success in this role.



1. analyzing sales data and trends to identify growth opportunities
2. creating financial reports and forecasts to support decision-making
3. managing client relationships and ensuring high levels of customer satisfaction
4. assisting with day-to-day operational tasks to streamline processes
5. participating in sales meetings and strategy sessions to contribute ideas and insights
6. collaborating with cross-functional teams to drive projects to completion
7. taking on new challenges and responsibilities as they arise to support the team's goals and objectives",No PPO Mentioned,Internshala
data-analyst,immigration consultant,spearhead immigration solutions private limited,Delhi,"₹ 5,000 - 6,000 /month",3 Months,effective communication,"1. assist in reviewing client profiles, collecting documents, and maintaining accurate application records.
2. support the immigration team with eligibility assessments, visa documentation, and case follow-ups.
3. communicate with prospective clients through calls, emails, and linkedin to provide basic information and schedule consultations.",No PPO Mentioned,Internshala
data-analyst,client servicing,creuto cloud private limited,Bhubaneswar,"₹ 6,000 - 10,000 /month",3 Months,"ms-office, ms-excel, english proficiency (spoken), google workspace","• reach out to new and existing clients via calls, emails, and messages
• build strong rapport with clients and understand their needs and expectations
• assist in onboarding new clients and guide them through creuto's products or services
• follow up regularly to ensure client satisfaction and resolve any queries
• maintain accurate and up-to-date records of client interactions and follow-ups
• coordinate with internal teams to ensure timely resolution of client issues
• support the team in preparing client presentations, proposals, and reports
• track engagement metrics and share regular feedback and insights with the team
•  meet daily, weekly, and monthly outreach and conversion targets

2.
3.",No PPO Mentioned,Internshala
data-analyst,data analytics,talent trackers hr private limited,Pune,"₹ 5,000 /month",3 Months,"python, mongodb, ms-excel","1. learning development in python and running scripts in python, shell, php, etc. to structure & organize data
2. learning mongo db, mysql, etc. to perform different query operations
3. getting trained on web scraping/data mining code development
4.working on automation testing, executing queries to convert data into meaningful information
5. working on data files & analyzing results in ms-excel
6. running validation script in r, tableau, and python for manual or automation testing
7. capturing, analyzing & processing data related to the assignments
8. learning linux as a system admin to set up servers

requirements:

1. immediate joiners only
2. prefer if you have done a data science course

working hours- 10:00 am to 7:00 pm, monday to friday (2nd/4th saturdays off)

location- warje, pune",No PPO Mentioned,Internshala
data-analyst,gis mapping/gis executive,vertucore it solutions,Hyderabad,"₹ 6,000 - 10,000 /month","₹ 6,000 - 10,000 /month","typing, computer vision, map study, effective communication","1. create high-quality maps, reports, and visualizations
2. perform gis data digitization, editing, validation, and quality control activities
3. manage geospatial datasets, ensuring data accuracy and consistency",No PPO Mentioned,Internshala
data-analyst,data science,growthpal,Pune,"₹ 15,000 /month",3 Months,"python, data analytics, data engineering","work on data collection, scraping, cleaning, and analysis projects.
design classification and decision-making frameworks for real-world business problems.
explore patterns in structured and unstructured datasets.
build prototypes and experiments using python and modern data science tools.
communicate findings, assumptions, and limitations clearly.",No PPO Mentioned,Internshala
data-analyst,customer service/customer support,complete cooling solutions llp,Mohali,"₹ 5,000 /month",3 Months,"ms-office, ms-excel, english proficiency (spoken), english proficiency (written), hindi proficiency (spoken)","1. schedule daily service and complaint visit plans
2. manage service call mail drops
3. close service calls
4. close installation calls
5. close in-home service calls
6. raise commissioning ticket requests
7. order parts for samsung, mitsubishi, and hitachi
8. process return part requests
9. handle defective and wrong part request mails
10. call customers regarding service and complaints
11. prepare parts estimates for samsung, mitsubishi, and hitachi
12. generate amc proposals",No PPO Mentioned,Internshala
data-analyst,founders office,excess rewards,Gurgaon,"₹ 5,000 - 10,000 /month",2 Months,"instagram marketing, sales, marketing","excess ai is a fast-growing ai startup transforming how offline businesses understand and engage with their customers. we provide real-time customer intelligence that helps businesses deliver more personalized experiences, increase retention, and drive revenue.

we work across multiple industries, including:
retail
food & beverage
gyms & fitness centers
salons & spas

as we continue to grow, we're looking for ambitious interns who want hands-on experience in sales, business development, marketing, and the startup ecosystem.

why join us?
at excess ai, you'll be working directly with the founders and core team, not from the sidelines. we're a small, energetic team that values ownership, curiosity, and execution. every contribution has a visible impact on the business. if you're someone who wants to learn quickly, take responsibility, and experience the pace of a startup, you'll fit right in.

what you can expect:
1. direct exposure to startup growth and sales
2. opportunity to work across multiple business functions
3. mentorship from founders and experienced professionals
4. real responsibility from day 1
5. a collaborative, high-energy work environment
6. plenty of team outings, celebrations, and fun along the way

about the role
this is primarily a sales & business development internship with opportunities to gain exposure to marketing, content creation, and growth strategies.
you'll work closely with the team to identify potential customers, build relationships, and help drive business growth.


1. research and identify potential leads across our target industries
2. reach out to prospects through calls, emails, linkedin, and other channels
3. schedule meetings and product demonstrations for the sales team
4. maintain and update lead databases and crm records
5. support customer outreach and follow-up activities
6. collaborate with the marketing team to generate content ideas for instagram and linkedin
7. assist in executing marketing and growth initiatives
8. analyze market trends and competitor activity

who we're looking for:
1. strong communication and interpersonal skills
2. confident speaking with new people over phone calls and meetings
3. self-motivated and eager to learn
4. comfortable working in a fast-paced startup environment
5. interest in sales, business development, marketing, or entrepreneurship
6. prior internship experience is a plus, but not required

what you'll gain:
1. real-world sales and business development experience
2. understanding of how ai products are sold to businesses
3. exposure to startup operations and growth strategies
4. experience working with founders and decision-makers
5. skills in lead generation, prospecting, negotiation, and customer engagement
6. marketing and content creation experience (optional based on interest)
 
if you're ambitious, curious, and excited about building something meaningful, we'd love to hear from you. join excess ai and help shape the future of customer engagement for offline businesses.",Job offer upto ₹ 3.5LPA post internship,Internshala
data-analyst,project management,consultbae,Work from home,"₹ 5,000 - 8,000 /month",6 Months,"project management, english proficiency (spoken), data annotation","selected intern’s day-to-day responsibilities will include:

1. support ongoing project activities by coordinating task execution and ensuring all necessary resources and documents are properly organized.
2. manage communication with geographically dispersed contributors by sharing clear instructions, tracking task completion, and addressing day-to-day operational concerns.
3. review submitted work at a basic level to ensure it aligns with outlined requirements and report any inconsistencies to the concerned team.
4. track project schedules using internal tools, identify potential delays or workflow challenges, and notify relevant stakeholders when required.
5. collaborate with internal departments and external partners to maintain efficient coordination across various stages of project delivery.
6. update internal records and prepare brief progress summaries to capture key developments and performance indicators.
7. adhere to company guidelines on confidentiality, information security, and responsible management of project-related data.",No PPO Mentioned,Internshala
data-analyst,operations,alok mishra,Hyderabad,"₹ 16,500 - 25,000 /month","₹ 16,500 - 25,000 /month","english proficiency (spoken), hindi proficiency (spoken)","1. look out for social media operations
2. report to the founder regarding developments and operational inputs
3. need to visit home office at least 2 days a week",Job offer upto ₹ 3.5LPA post internship,Internshala
