role,title,company,location,stipend,duration,skills_required,description,ppo,source
data-analyst,Sales & Operations,Sofa Clinic,Bangalore,"₹ 12,000 - 15,000 /month",2 Months,"Client Relationship Management (CRM), Financial Analysis, Adaptability, Self-learning, Google Sheets","As a Sales & Operations intern at Sofa Clinic, you will play a crucial role in driving revenue growth and operational efficiency. Your knowledge of Google Sheets, financial analysis, and client relationship management will be put to the test in this fast-paced and dynamic environment. Your ability to self-learn and adapt quickly will be key to your success in this role.



1. Analyzing sales data and trends to identify growth opportunities
2. Creating financial reports and forecasts to support decision-making
3. Managing client relationships and ensuring high levels of customer satisfaction
4. Assisting with day-to-day operational tasks to streamline processes
5. Participating in sales meetings and strategy sessions to contribute ideas and insights
6. Collaborating with cross-functional teams to drive projects to completion
7. Taking on new challenges and responsibilities as they arise to support the team's goals and objectives",No PPO Mentioned,Internshala
data-analyst,Immigration Consultant,Spearhead Immigration Solutions Private Limited,Delhi,"₹ 5,000 - 6,000 /month",3 Months,Effective Communication,"1. Assist in reviewing client profiles, collecting documents, and maintaining accurate application records.
2. Support the immigration team with eligibility assessments, visa documentation, and case follow-ups.
3. Communicate with prospective clients through calls, emails, and LinkedIn to provide basic information and schedule consultations.",No PPO Mentioned,Internshala
data-analyst,Client Servicing,Creuto Cloud Private Limited,Bhubaneswar,"₹ 6,000 - 10,000 /month",3 Months,"MS-Office, MS-Excel, English Proficiency (Spoken), Google Workspace","• Reach out to new and existing clients via calls, emails, and messages
• Build strong rapport with clients and understand their needs and expectations
• Assist in onboarding new clients and guide them through Creuto's products or services
• Follow up regularly to ensure client satisfaction and resolve any queries
• Maintain accurate and up-to-date records of client interactions and follow-ups
• Coordinate with internal teams to ensure timely resolution of client issues
• Support the team in preparing client presentations, proposals, and reports
• Track engagement metrics and share regular feedback and insights with the team
•  Meet daily, weekly, and monthly outreach and conversion targets

2.
3.",No PPO Mentioned,Internshala
data-analyst,Data Analytics,Talent Trackers HR Private Limited,Pune,"₹ 5,000 /month",3 Months,"Python, MongoDB, MS-Excel","1. Learning development in Python and running scripts in Python, Shell, PHP, etc. to structure & organize data
2. Learning Mongo DB, MySQL, etc. to perform different query operations
3. Getting trained on Web Scraping/Data mining code development
4.Working on automation testing, Executing queries to convert data into meaningful information
5. Working on data files & analyzing results in Ms-Excel
6. Running validation script in R, Tableau, and Python for manual or automation testing
7. Capturing, analyzing & processing data related to the assignments
8. Learning Linux as a system admin to set up servers

Requirements:

1. Immediate joiners only
2. Prefer if you have done a data science course

Working hours- 10:00 am to 7:00 pm, Monday to Friday (2nd/4th Saturdays off)

Location- Warje, Pune",No PPO Mentioned,Internshala
data-analyst,GIS Mapping/GIS Executive,Vertucore IT Solutions,Hyderabad,"₹ 6,000 - 10,000 /month","₹ 6,000 - 10,000 /month","Typing, Computer Vision, Map Study, Effective Communication","1. Create high-quality maps, reports, and visualizations
2. Perform GIS data digitization, editing, validation, and quality control activities
3. Manage geospatial datasets, ensuring data accuracy and consistency",No PPO Mentioned,Internshala
data-analyst,Data Science,GrowthPal,Pune,"₹ 15,000 /month",3 Months,"Python, Data Analytics, Data Engineering","Work on data collection, scraping, cleaning, and analysis projects.
Design classification and decision-making frameworks for real-world business problems.
Explore patterns in structured and unstructured datasets.
Build prototypes and experiments using Python and modern data science tools.
Communicate findings, assumptions, and limitations clearly.",No PPO Mentioned,Internshala
data-analyst,Customer Service/Customer Support,Complete Cooling Solutions LLP,Mohali,"₹ 5,000 /month",3 Months,"MS-Office, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)","1. Schedule daily service and complaint visit plans
2. Manage service call mail drops
3. Close service calls
4. Close installation calls
5. Close in-home service calls
6. Raise commissioning ticket requests
7. Order parts for Samsung, Mitsubishi, and Hitachi
8. Process return part requests
9. Handle defective and wrong part request mails
10. Call customers regarding service and complaints
11. Prepare parts estimates for Samsung, Mitsubishi, and Hitachi
12. Generate AMC proposals",No PPO Mentioned,Internshala
data-analyst,Founders Office,Excess Rewards,Gurgaon,"₹ 5,000 - 10,000 /month",2 Months,"Instagram Marketing, Sales, Marketing","Excess AI is a fast-growing AI startup transforming how offline businesses understand and engage with their customers. We provide real-time customer intelligence that helps businesses deliver more personalized experiences, increase retention, and drive revenue.

We work across multiple industries, including:
Retail
Food & Beverage
Gyms & Fitness Centers
Salons & Spas

As we continue to grow, we're looking for ambitious interns who want hands-on experience in sales, business development, marketing, and the startup ecosystem.

Why Join Us?
At Excess AI, you'll be working directly with the founders and core team, not from the sidelines. We're a small, energetic team that values ownership, curiosity, and execution. Every contribution has a visible impact on the business. If you're someone who wants to learn quickly, take responsibility, and experience the pace of a startup, you'll fit right in.

What you can expect:
1. Direct exposure to startup growth and sales
2. Opportunity to work across multiple business functions
3. Mentorship from founders and experienced professionals
4. Real responsibility from Day 1
5. A collaborative, high-energy work environment
6. Plenty of team outings, celebrations, and fun along the way

About the Role
This is primarily a Sales & Business Development Internship with opportunities to gain exposure to marketing, content creation, and growth strategies.
You'll work closely with the team to identify potential customers, build relationships, and help drive business growth.


1. Research and identify potential leads across our target industries
2. Reach out to prospects through calls, emails, LinkedIn, and other channels
3. Schedule meetings and product demonstrations for the sales team
4. Maintain and update lead databases and CRM records
5. Support customer outreach and follow-up activities
6. Collaborate with the marketing team to generate content ideas for Instagram and LinkedIn
7. Assist in executing marketing and growth initiatives
8. Analyze market trends and competitor activity

Who we're looking for:
1. Strong communication and interpersonal skills
2. Confident speaking with new people over phone calls and meetings
3. Self-motivated and eager to learn
4. Comfortable working in a fast-paced startup environment
5. Interest in sales, business development, marketing, or entrepreneurship
6. Prior internship experience is a plus, but not required

What you'll gain:
1. Real-world sales and business development experience
2. Understanding of how AI products are sold to businesses
3. Exposure to startup operations and growth strategies
4. Experience working with founders and decision-makers
5. Skills in lead generation, prospecting, negotiation, and customer engagement
6. Marketing and content creation experience (optional based on interest)
 
If you're ambitious, curious, and excited about building something meaningful, we'd love to hear from you. Join Excess AI and help shape the future of customer engagement for offline businesses.",Job offer upto ₹ 3.5LPA post internship,Internshala
data-analyst,Project Management,ConsultBae,Work from home,"₹ 5,000 - 8,000 /month",6 Months,"Project Management, English Proficiency (Spoken), Data Annotation","Selected intern’s day-to-day responsibilities will include:

1. Support ongoing project activities by coordinating task execution and ensuring all necessary resources and documents are properly organized.
2. Manage communication with geographically dispersed contributors by sharing clear instructions, tracking task completion, and addressing day-to-day operational concerns.
3. Review submitted work at a basic level to ensure it aligns with outlined requirements and report any inconsistencies to the concerned team.
4. Track project schedules using internal tools, identify potential delays or workflow challenges, and notify relevant stakeholders when required.
5. Collaborate with internal departments and external partners to maintain efficient coordination across various stages of project delivery.
6. Update internal records and prepare brief progress summaries to capture key developments and performance indicators.
7. Adhere to company guidelines on confidentiality, information security, and responsible management of project-related data.",No PPO Mentioned,Internshala
data-analyst,Operations,ALOK MISHRA,Hyderabad,"₹ 16,500 - 25,000 /month","₹ 16,500 - 25,000 /month","English Proficiency (Spoken), Hindi Proficiency (Spoken)","1. Look out for social media operations
2. Report to the founder regarding developments and operational inputs
3. Need to visit home office at least 2 days a week",Job offer upto ₹ 3.5LPA post internship,Internshala
